Name,Control,State,Degree_Status,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate_4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Colby-Sawyer College,2,NH,1,1,7,2,1,65145,93,56,61,55,64,44,100,17,807
Colgate University,2,NY,1,2,7,2,0,80160,17,87,90,89,92,87,48,9,3112
College for Creative Studies,2,MI,1,2,7,2,1,60847,54,41,62,63,61,56,99,10,1281
College of Charleston,1,SC,1,4,8,2,1,31153,76,59,67,61,70,62,98,16,9839
College of Coastal Georgia,1,GA,1,2,5,2,1,22385,97,12,23,20,24,20,92,21,2612
College of Mount Saint Vincent,2,NY,1,2,8,2,1,56380,82,35,56,52,59,54,94,15,3251
College of Our Lady of the Elms,2,MA,1,2,9,2,1,57760,68,60,68,66,69,61,99,11,1197
College of the Atlantic,2,ME,1,1,7,2,0,54969,61,53,67,76,63,52,99,10,349
College of the Holy Cross,2,MA,1,2,5,2,0,74520,43,90,93,91,94,91,73,10,3153
College of the Ozarks,2,MO,1,2,5,2,0,31456,21,45,63,61,63,61,100,15,1652
Colorado College,2,CO,1,2,7,2,1,79562,14,82,86,84,87,86,60,9,2181
Colorado Mesa University,1,CO,1,3,9,2,1,24935,80,28,45,38,51,31,89,18,7437
Colorado School of Mines,1,CO,1,3,9,2,1,38203,57,67,83,83,84,75,98,16,6567
Colorado State University Pueblo,1,CO,1,3,9,2,1,27545,99,21,39,34,42,32,97,15,5471
Colorado State University-Fort Collins,1,CO,1,5,9,2,1,28346,90,47,69,66,71,58,84,17,27604
Columbia College Chicago,2,IL,1,3,7,2,1,48698,96,44,51,48,52,44,99,14,6201
Columbia International University,2,SC,1,2,9,2,1,38850,46,57,60,50,68,59,97,16,1612
Columbia University in the City of New York,2,NY,1,5,9,2,1,82584,4,88,97,97,98,96,58,6,28435
Columbus College of Art and Design,2,OH,1,2,7,2,1,54578,94,55,60,51,63,51,100,10,1032
Columbus State University,1,GA,1,3,9,2,1,23181,79,19,43,39,46,40,97,16,6903
Concord University,1,WV,1,2,8,2,1,22178,96,29,42,29,52,35,100,15,1799
Concordia College at Moorhead,2,MN,1,2,7,2,1,41186,72,71,74,67,79,58,100,12,2000
Concordia University Ann Arbor,2,MI,1,2,8,2,1,48038,63,34,49,35,65,48,98,10,1004
Concordia University Texas,2,TX,1,2,9,2,1,50876,89,26,37,34,41,41,100,17,2128
Concordia University-Chicago,2,IL,1,3,9,2,1,47340,88,2,43,34,50,31,99,13,4314
Concordia University-Irvine,2,CA,1,2,9,2,1,55500,81,60,68,67,68,64,100,15,3806
Concordia University-Nebraska,2,NE,1,2,7,2,1,49405,85,47,58,46,70,53,100,14,2399
Concordia University-Saint Paul,2,MN,1,3,9,2,1,37800,68,43,53,45,60,41,100,18,5145
Concordia University-Wisconsin,2,WI,1,3,9,2,1,48502,69,41,60,51,67,53,100,12,4545
Connecticut College,2,CT,1,2,5,2,1,79575,41,78,81,78,83,78,100,9,1922
Cooper Union for the Advancement of Science and Art,2,NY,1,1,7,2,0,68708,15,64,83,80,91,76,100,9,877
Coppin State University,1,MD,1,2,9,1,1,22136,48,14,26,35,22,23,92,10,1811
Corban University,2,OR,1,2,9,2,1,50372,38,56,64,55,68,68,100,12,1156
Cornell College,2,IA,1,2,7,2,1,62735,81,63,64,59,69,65,100,12,1046
Cornell University,2,NY,1,5,9,2,1,80287,9,88,94,93,95,90,58,9,23971
Cornerstone University,2,MI,1,2,9,2,1,41010,91,54,60,61,60,51,100,15,1638
Cornish College of the Arts,2,WA,1,1,5,2,1,53502,64,47,51,52,51,48,100,7,449
Covenant College,2,GA,1,1,7,2,1,52030,89,65,72,69,74,72,100,11,860
Creighton University,2,NE,1,3,9,2,1,60224,78,70,78,78,79,72,100,11,8782
Criswell College,2,TX,1,1,7,2,1,24744,98,43,43,40,50,50,94,5,132
Crown College,2,MN,1,2,7,2,1,43676,65,51,59,45,72,54,98,17,1102
Culver-Stockton College,2,MO,1,1,7,2,1,42418,93,42,49,36,62,43,100,14,967
Cumberland University,2,TN,1,2,7,2,1,42082,58,41,53,43,74,42,100,17,2317
CUNY Bernard M Baruch College,1,NY,1,4,9,2,1,34038,51,49,74,69,79,75,91,20,17482
