Trip Seconds,Trip Miles,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Location,Dropoff Location
1391,12.1,31.5,3,0,4,39,Credit Card,City Service,76,16
1020,0,14.25,0,0,1,15.25,Cash,U Taxicab,6,5
360,2.8,9.5,4,0,4,17.5,Credit Card,Top Cab Affiliation,POC,DOC
1320,17,41,2,0,26,69,Credit Card,Taxi Affiliation Services,76,DOC
780,0.3,16,0,0,0,16,Cash,Taxi Affiliation Services,8,31
409,1.28,9.36,2.14,0,0,11.5,Mobile,Sun Taxi,6,3
5,0,64,12.9,0,0,77.4,Credit Card,24 Seven Taxi,32,32
1397,16.72,42.25,0,0,5.5,47.75,Cash,City Service,76,8
1380,1,42.75,9.65,0,5,57.4,Credit Card,Taxi Affiliation Services,76,28
600,2.9,10.75,2.65,0,2,15.4,Credit Card,Taxi Affiliation Services,8,33
1020,6.5,19.75,0,0,0,19.75,Cash,Taxi Affiliation Services,6,32
1260,3.9,15,3.1,0,0,18.1,Credit Card,Taxi Affiliation Services,28,28
1326,16.9,42,9.5,0,5,57,Credit Card,Sun Taxi,76,32
315,1.38,9.36,0,0,0,9.36,Mobile,Globe Taxi,6,6
1980,1.1,47.5,10,0,28.5,86,Credit Card,Taxi Affiliation Services,76,DOC
660,2.7,10.5,0,0,0,10.5,Cash,Taxicab Insurance Agency,6,22
374,1.8,7.5,0,0,0,7.5,Cash,City Service,6,6
780,0.3,17,6,0,12.5,35.5,Credit Card,Taxi Affiliation Services,76,DOC
660,4.1,13,0,0,6,19,Cash,Medallion Leasin,76,DOC
60,0.1,3.5,0,0,0,3.5,Cash,Top Cab Affiliation,8,8
1260,10.2,27.5,10.01,0,0,37.51,Credit Card,Blue Ribbon Taxi Association Inc.,8,1
240,1,5.75,2,0,1,8.75,Credit Card,Taxi Affiliation Services,7,7
2640,30.3,72.25,16.15,0,8,96.4,Credit Card,Taxicab Insurance Agency,76,DOC
1747,15.8,39.25,8.75,0,4,52.5,Credit Card,Sun Taxi,POC,DOC
0,0,3.25,0,0,36,39.25,Credit Card,Taxi Affiliation Services,76,76
1022,11.84,31,0,0,0,31,Prcard,Flash Cab,32,44
600,2.9,10.5,0,0,1,11.5,Cash,Top Cab Affiliation,6,24
1680,13.6,35.5,2.88,0,4,42.38,Credit Card,Taxi Affiliation Services,76,3
780,5.6,16.5,3.6,0,1,21.1,Credit Card,Taxi Affiliation Services,6,32
1320,15.7,39.5,8.8,0,4,52.3,Credit Card,Top Cab Affiliation,POC,DOC
1380,14.3,35.75,10.06,0,4,50.31,Credit Card,Medallion Leasin,76,6
420,2,8.5,5,0,6,19.5,Credit Card,Taxi Affiliation Services,76,DOC
360,0.1,7.5,2.4,0,4,13.9,Credit Card,Taxi Affiliation Services,33,32
960,8.5,23.5,0,0,0,23.5,Unknown,Taxi Affiliation Services,15,8
4200,30.1,73.75,0,0,14.5,88.25,Cash,Taxi Affiliation Services,28,DOC
840,8.5,23.75,0,0,0,23.75,Cash,Taxi Affiliation Services,68,8
660,3,10.75,0,0,4,14.75,Cash,Taxi Affiliation Services,56,63
1140,15.4,37.5,8.4,0,4,49.9,Credit Card,Taxicab Insurance Agency,76,7
300,0.6,6.75,3,0,1.5,11.25,Credit Card,Taxicab Insurance Agency,8,8
60,0,3.25,0,0,4.5,7.75,Cash,Taxi Affiliation Services,56,56
1273,16.95,41.75,13.65,0,26,81.9,Credit Card,City Service,POC,DOC
1028,5.79,17.5,0,0,0,17.5,Prcard,Flash Cab,43,38
1200,16.7,41.5,9.5,0,5.5,56.5,Credit Card,Taxi Affiliation Services,76,8
576,5.63,20.09,4.52,0,0,24.61,Mobile,Medallion Leasin,32,6
240,0,4.25,0,0,0,4.25,Cash,Medallion Leasin,POC,25
720,5.6,16.5,0,0,0,16.5,Prcard,Medallion Leasin,3,8
1200,4.9,16.75,0,0,0,16.75,Cash,Top Cab Affiliation,6,22
1560,11,29.5,0,0,20,49.5,Cash,Taxi Affiliation Services,76,DOC
1140,0.6,28.25,0,0,5,33.25,Credit Card,Taxi Affiliation Services,76,DOC
1620,13.7,35.25,0,0,4,39.25,Cash,Taxi Affiliation Services,76,6
1080,12.6,31.75,7.25,0,4,43,Credit Card,Taxi Affiliation Services,56,32
42,0,3.25,0,0,0,3.25,Cash,City Service,56,56
900,0.2,13.5,0,0,0,13.5,Cash,Taxi Affiliation Services,15,23
1027,5,19.53,7.7,0,0,27.23,Mobile,City Service,6,24
1221,17.55,43,9.7,0,5,58.2,Credit Card,Chicago Independents,76,8
60,0.9,5,0,0,0,5,Cash,Taxi Affiliation Services,22,22
240,1,6,2,0,1,9,Credit Card,Taxi Affiliation Services,7,7
1560,17.1,42.25,0,0,5,47.25,Cash,Medallion Leasin,76,8
399,1.5,7,4,0,0,11.5,Credit Card,Globe Taxi,6,3
0,0,3.25,0,0,0,3.25,Cash,Top Cab Affiliation,6,6
1194,12.98,33.5,7.9,0,5.5,47.4,Credit Card,City Service,POC,8
1920,11.3,31.5,0,0,4,35.5,No Charge,Star North Management LLC,56,43
1054,11.35,29,0,0,21,50,Cash,City Service,POC,DOC
480,2.7,10,1.5,0,1,12.5,Credit Card,Top Cab Affiliation,8,7
2520,1,44,9.9,0,5,58.9,Credit Card,Blue Ribbon Taxi Association Inc.,76,1
885,9.21,24,7.5,0,5.5,37.5,Credit Card,Sun Taxi,76,DOC
1047,11.55,30,0,0,0,30,Prcard,Flash Cab,19,32
60,0,40,0,0,0,40,Credit Card,Taxicab Insurance Agency,POC,DOC
780,21,26.5,0,0,4,30.5,Cash,Star North Management LLC,56,32
660,0.3,16.5,3.8,0,2,22.3,Credit Card,Taxi Affiliation Services,6,8
840,0.6,26.25,5,0,5,36.25,Credit Card,Taxi Affiliation Services,56,60
651,6.8,18.75,0,0,5,24.25,Credit Card,Chicago Taxicab,POC,DOC
1318,8.05,23.5,5.1,0,1.5,30.6,Credit Card,Flash Cab,6,33
728,5.85,17.25,0,0,0,17.25,Prcard,Flash Cab,58,DOC
1860,16.7,41.5,3,0,5,49.5,Credit Card,Taxicab Insurance Agency,76,DOC
1387,19.55,47.5,10.7,0,5.5,64.2,Credit Card,Sun Taxi,POC,28
1038,12.9,33.75,0,0,24,58.25,Credit Card,City Service,76,DOC
540,0.2,12,0,0,0,12,Cash,Taxi Affiliation Services,32,24
849,11.29,29,0,0,0,29,Prcard,Flash Cab,44,34
1380,1,42.75,0,0,4,46.75,Credit Card,Taxi Affiliation Services,76,8
291,0.74,5.5,0,0,0,5.5,Cash,Sun Taxi,8,8
1140,16.7,41.5,0.01,0,4,45.51,Credit Card,Top Cab Affiliation,76,8
1500,1,44.25,5,0,4,53.25,Credit Card,Taxi Affiliation Services,76,8
1212,17.75,43.25,5,0,5,53.75,Credit Card,City Service,76,8
1560,17.4,42.75,9.45,0,4,56.7,Credit Card,Globe Taxi,76,8
1299,18.59,45,9.9,0,4,59.4,Credit Card,Sun Taxi,76,8
1359,15.89,40,9.1,0,5,54.6,Credit Card,Sun Taxi,76,7
345,2.19,8.5,0,0,0,8.5,Cash,Flash Cab,3,77
0,0,3.25,5,0,36,44.25,Credit Card,Top Cab Affiliation,8,8
2654,3.73,89,14.25,0,5.5,109.25,Credit Card,Flash Cab,76,55
1440,17.3,43,0,0,4,47,Dispute,U Taxicab,POC,DOC
1380,18.3,44.5,9.8,0,4,58.8,Credit Card,Globe Taxi,76,DOC
0,0,3.25,1,0,6,10.25,Credit Card,Taxi Affiliation Services,28,28
545,3.7,12,0,0,5,17,Cash,Medallion Leasin,56,DOC
1342,9.04,24.75,4.39,0,4,33.64,Credit Card,Flash Cab,56,20
2340,31.3,74.5,0,0,42,116.5,Cash,Taxi Affiliation Services,56,DOC
912,6.55,18.5,0,0,5,23.5,Cash,Sun Taxi,POC,DOC
424,3.74,12,1,0,5,18.5,Credit Card,Sun Taxi,POC,DOC
3420,2.7,104.75,0,0,0,104.75,Cash,Taxi Affiliation Services,8,DOC
780,0.1,10.25,0,0,0,10.25,Cash,Taxi Affiliation Services,28,33
540,2,8.75,2.1,0,1.5,12.35,Credit Card,Taxi Affiliation Services,6,7
900,4,13.5,0,0,0,13.5,Cash,Blue Ribbon Taxi Association Inc.,6,8
962,10.99,28.5,0,0,4,32.5,Cash,Globe Taxi,POC,38
1560,0.8,35.5,2,0,4,41.5,Credit Card,Taxi Affiliation Services,76,23
1104,12.7,32.75,7.65,0,5,45.9,Credit Card,Setare Inc,76,22
1380,6.5,19.75,0,0,1,20.75,Cash,Taxi Affiliation Services,6,24
1221,16.96,42,9.3,0,4,55.8,Credit Card,Flash Cab,POC,8
1260,14.5,32.75,5,0,3,40.75,Credit Card,Taxi Affiliation Services,56,8
600,3.7,12,0,0,5,17,Cash,Medallion Leasin,76,DOC
778,6.08,17.75,0,0,0,17.75,Prcard,Flash Cab,37,32
1200,9.8,26.25,0,0,5,31.25,Cash,Taxi Affiliation Services,76,19
306,3.49,11,3,0,0,14.5,Credit Card,Flash Cab,6,8
949,3.02,11.75,0,0,0,11.75,Cash,Flash Cab,8,33
1380,0,44,0,0,4,48,Cash,Taxi Affiliation Services,56,3
8,0.01,3.25,0,0,0,3.25,Cash,Flash Cab,8,8
1080,10,26.5,6.2,0,4,36.7,Credit Card,Top Cab Affiliation,56,32
198,0.4,4.25,2,0,0,6.75,Credit Card,Medallion Leasin,6,3
540,0.1,9.25,0,0,0,9.25,Cash,Blue Ribbon Taxi Association Inc.,8,32
853,9.4,25,0,0,4,29,Cash,Globe Taxi,56,33
1440,18.2,46.25,0,0,4,50.25,Cash,Taxi Affiliation Services,56,DOC
600,1.8,8.5,0,0,2,10.5,Cash,Medallion Leasin,8,32
2280,9.5,28.5,0,0,0,28.5,Cash,Taxi Affiliation Services,6,2
818,12.4,31.5,0,0,0,31.5,Prcard,Flash Cab,28,DOC
2758,13.75,43,0,0,0,43,Prcard,City Service,27,28
1560,17.3,43,0,0,5,48,Cash,Top Cab Affiliation,POC,DOC
840,5.3,16,0,0,1,17,Cash,Taxi Affiliation Services,8,6
720,0.4,18.75,0,0,7,25.75,Cash,Taxi Affiliation Services,76,DOC
720,4.2,13.75,3.15,0,1.5,18.4,Credit Card,Taxi Affiliation Services,6,8
1080,6.2,18.25,4.5,0,4,26.75,Credit Card,Chicago Independents,76,DOC
780,4.9,15,0,0,2,17,Cash,Taxi Affiliation Services,6,8
840,0.3,17.25,4.45,0,4.5,26.2,Credit Card,Taxi Affiliation Services,76,10
840,8.1,22.25,0,0,1,23.25,Cash,Taxi Affiliation Services,7,26
0,0,3.25,2,0,12,17.25,Credit Card,Taxi Affiliation Services,77,77
300,0.1,7.5,1,0,7.5,16,Credit Card,Taxi Affiliation Services,56,DOC
720,2.7,10.5,0,0,0,10.5,Dispute,U Taxicab,POC,DOC
1492,17.2,42.5,0,0,4,47,Credit Card,Medallion Leasin,76,8
