Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
Bradley,BAL,103.7,29,96.3,402,Sinker
Cruz,DET,105.8,29,96.3,390,Sinker
Allen,TB,103.3,25,96.3,373,4
Muncy,COL,106.6,29,96.3,419,4
Buxton,DET,109.8,31,96.3,427,Sinker
Celestino,CWS,103.8,24,96.3,412,4
AndÃºjar,TB,102.2,31,96.3,365,4
Simmons,OAK,98.6,30,96.3,379,4
HernÃ¡ndez,NYY,106.9,22,96.3,379,4
Turner,ARI,102.6,25,96.3,398,4
UrÃ­as,CHC,104.1,25,96.3,411,4
Schoop,STL,103.5,31,96.3,372,4
Muncy,MIA,107.4,37,96.3,424,4
Verdugo,DET,96.7,29,96.3,352,4
Altuve,NYY,103.4,28,96.3,404,4
Dozier,CLE,109.4,29,96.3,410,4
Dalbec,TB,114.1,20,96.3,397,4
Grandal,CHC,105,26,96.3,416,4
Seager,DET,108.9,36,96.3,426,4
Mazeika,TB,102.2,39,96.2,364,4
Zunino,BAL,110.3,24,96.2,434,4
Adames,CHC,107.9,37,96.2,411,4
Smith,SD,104.1,25,96.2,403,4
Ruiz,CIN,98.4,32,96.2,376,4
Alonso,MIA,108.9,22,96.2,399,Sinker
Grandal,NYY,99,31,96.2,383,4
Perez,LAD,101.3,29,96.2,412,Sinker
Merrifield,TEX,98.1,34,96.2,381,4
Crawford,COL,99.4,36,96.2,376,4
Bichette,NYY,105.8,25,96.2,412,4
Swanson,NYM,101.7,35,96.2,379,Sinker
Schwarber,NYM,112.6,31,96.2,434,4
Phillips,OAK,105.4,29,96.2,417,Sinker
Raleigh,OAK,113.1,25,96.2,444,Sinker
Cronenworth,COL,102.7,42,96.2,403,4
Albies,STL,108.3,37,96.2,428,4
Brantley,CLE,105.7,35,96.2,402,Sinker
Straw,BAL,100.9,23,96.2,367,4
Rojas,MIL,102.7,32,96.2,419,Sinker
Chisholm Jr.,CIN,112.1,24,96.2,405,4
Moncada,DET,101,39,96.2,365,Sinker
Ramos,CIN,101.6,23,96.2,366,4
Fuentes,LAD,97.5,33,96.2,389,Sinker
Machado,COL,109,20,96.2,413,4
Muncy,COL,104.3,33,96.2,431,4
Molina,WSH,107.5,22,96.1,430,Sinker
Tatis Jr.,NYM,104.3,37,96.1,401,4
Haniger,LAD,103,26,96.1,402,4
BÃ¡ez,LAD,105.2,23,96.1,401,4
Polanco,NYY,104.1,36,96.1,410,4
Bryant,NYM,105.2,33,96.1,434,4
Sheets,MIN,99.4,31,96.1,390,4
Rizzo,STL,110.1,22,96.1,393,4
AndÃºjar,TB,102,25,96.1,364,4
Guerrero Jr.,BOS,111.3,24,96.1,443,4
Rizzo,NYM,104.4,30,96.1,418,4
HernÃ¡ndez,OAK,105.4,24,96.1,396,4
Reynolds,LAD,107.7,23,96.1,418,Sinker
Meadows,NYY,95.3,25,96.1,368,Sinker
Arenado,MIL,102.7,40,96.1,380,4
Bogaerts,PHI,98.8,29,96.1,362,Sinker
Jeffers,DET,103,25,96.1,383,4
Muncy,ARI,107.7,26,96.1,403,4
Tucker,LAA,100.9,32,96.1,373,4
Devers,NYY,112.4,24,96.1,429,4
Young,LAD,108.8,35,96.1,437,4
Guillorme,CIN,95.2,29,96.1,391,4
Adames,CIN,105.1,24,96.1,376,4
Garver,CLE,109.1,32,96.1,413,4
Sheets,PIT,101.6,39,96.1,370,4
Haase,CIN,107.3,24,96.1,408,4
Casali,ARI,102.8,26,96.1,415,4
Kirilloff,KC,104.5,32,96,394,4
Swanson,NYM,104.8,35,96,381,4
Peraza,SD,100.6,30,96,403,4
Gonzalez,CWS,104.2,28,96,410,4
Polanco,CWS,106,24,96,378,4
Farmer,STL,103.5,34,96,405,Sinker
HernÃ¡ndez,TB,106.7,31,96,414,4
Gurriel Jr.,MIA,106.1,31,96,400,Sinker
Guerrero Jr.,TEX,107.9,28,96,416,4
Suzuki,DET,101.8,33,96,366,4
Adames,COL,106.8,23,96,390,Sinker
Tatis Jr.,WSH,113.3,24,96,433,4
Tauchman,TEX,107.7,19,96,355,4
Donaldson,OAK,104,23,96,381,4
Baddoo,OAK,100.4,33,96,353,4
Gamel,ATL,105.5,27,96,421,4
Collins,KC,106.5,27,96,430,4
Seager,BOS,104.3,31,96,421,4
Grossman,KC,103.3,36,96,395,4
Higashioka,NYM,103,36,95.9,411,4
