Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
"Adell, Jo",SD,106.1,24,96.8,376,4
"Tatis Jr., Fernando",LAD,104.2,32,96.8,368,4
"Toro, Abraham",HOU,103.4,28,96.8,413,Sinker
"Albies, Ozzie",CIN,104.3,23,96.8,369,Sinker
"India, Jonathan",DET,99.7,31,96.8,409,Sinker
"Ohtani, Shohei",BOS,96.6,36,96.7,372,4
"Guerrero Jr., Vladimir",BAL,103.3,26,96.7,377,4
"Gallo, Joey",HOU,105.6,23,96.7,355,4
"Pollock, AJ",TEX,104.7,24,96.7,418,4
"SanÃ³, Miguel",BAL,114.1,20,96.7,426,Sinker
"Correa, Carlos",CWS,101.2,29,96.7,373,4
"Arenado, Nolan",CIN,108,20,96.7,372,4
"Semien, Marcus",CWS,105.8,23,96.7,388,4
"Lux, Gavin",SEA,106.5,32,96.7,413,4
"Guerrero Jr., Vladimir",WSH,103.9,25,96.7,375,Sinker
"Renfroe, Hunter",NYY,111.5,29,96.7,456,4
"Haase, Eric",MIN,102.2,25,96.7,362,4
"UrÃ­as, RamÃ³n",TB,103.6,28,96.7,424,4
"Turner, Justin",COL,104.2,27,96.7,399,4
"O'Neill, Tyler",NYM,111.1,26,96.7,439,Sinker
"Seager, Kyle",HOU,105.1,27,96.7,409,4
"Romine, Andrew",CWS,94.1,30,96.7,365,4
"Olson, Matt",MIN,110.3,27,96.7,385,Sinker
"Hays, Austin",CWS,100.1,28,96.7,361,4
"Guerrero Jr., Vladimir",BAL,108.1,33,96.7,438,4
"HernÃ¡ndez, Enrique",WSH,100.8,24,96.7,401,Sinker
"Zimmerman, Ryan",MIA,107.4,25,96.7,430,4
"Hampson, Garrett",PHI,101.4,36,96.7,411,Sinker
"Contreras, Willson",ATL,110.5,21,96.6,416,4
"Renfroe, Hunter",TB,104,22,96.6,427,4
"Arenado, Nolan",MIL,95.7,33,96.6,373,4
"UrÃ­as, Luis",DET,104.7,26,96.6,391,Sinker
"Baddoo, Akil",MIN,104.2,26,96.6,412,4
"Phillips, Brett",CLE,102.5,35,96.6,419,4
"Castellanos, Nick",WSH,105.6,24,96.6,413,4
"Donaldson, Josh",CWS,104,24,96.6,435,4
"Bell, Josh",PIT,99.8,29,96.6,390,4
"Semien, Marcus",NYY,105.2,33,96.6,403,4
"Cabrera, AsdrÃºbal",SD,100.1,32,96.6,386,4
"Torres, Gleyber",NYM,99,35,96.6,382,Sinker
"Gallo, Joey",CWS,113.8,36,96.6,424,4
"Vaughn, Andrew",TOR,103.3,23,96.6,390,4
"Castro, Rodolfo",NYM,100.1,26,96.6,386,Sinker
"Torrens, Luis",CWS,101.2,28,96.6,367,4
"Bohm, Alec",MIL,104.3,26,96.6,395,4
"GarcÃ­a, AvisaÃ­l",CIN,101.6,37,96.6,344,Sinker
"Posey, Buster",LAD,99.1,34,96.6,386,Sinker
"Profar, Jurickson",LAD,92.2,28,96.6,346,4
"Santana, Carlos",DET,105.6,24,96.6,442,4
"Alonso, Pete",LAD,102,33,96.5,377,Sinker
"Rendon, Anthony",TB,105.4,34,96.5,406,4
"Realmuto, J.T.",PIT,99.7,32,96.5,352,4
"SÃ¡nchez, Gary",BOS,103.4,21,96.5,362,4
"Camarena, Daniel",WSH,107.2,22,96.5,416,4
"Rogers, Jake",MIN,106.8,23,96.5,421,Sinker
"Calhoun, Willie",NYY,103.9,27,96.5,417,4
"Schwarber, Kyle",NYM,103.3,26,96.5,379,Sinker
"Hedges, Austin",BOS,104.6,24,96.5,387,4
"Altuve, Jose",TOR,95.4,29,96.5,392,Sinker
"Santana, Carlos",CWS,104.1,29,96.5,405,4
"Albies, Ozzie",TOR,102.3,34,96.5,424,4
"Guerrero Jr., Vladimir",NYY,114.3,20,96.5,398,4
"McNeil, Jeff",ATL,101.3,33,96.5,410,4
"Santana, Carlos",CLE,101.5,22,96.5,402,4
"Lindor, Francisco",NYY,108.7,38,96.5,395,4
"Walsh, Jared",BOS,104.8,31,96.5,406,4
"Thomas, Lane",MIA,106.3,23,96.5,413,Sinker
"Garlick, Kyle",CLE,109.3,26,96.5,442,4
"Galvis, Freddy",MIA,102.1,28,96.5,406,4
"Muncy, Max",SD,105.2,37,96.4,406,4
"Bryant, Kris",SD,97.4,31,96.4,369,4
"Swanson, Dansby",MIA,105.9,27,96.4,408,Sinker
"Stephenson, Tyler",PIT,105,28,96.4,383,4
"Donaldson, Josh",DET,108.2,24,96.4,422,Sinker
"Gardner, Brett",TOR,98.3,34,96.4,393,4
"Wisdom, Patrick",SF,107.8,36,96.4,418,4
"Freeman, Freddie",NYM,109.6,26,96.4,446,4
"MejÃ­a, Francisco",BOS,101.5,35,96.4,392,4
"Betts, Mookie",SD,102.6,25,96.4,406,Sinker
"Villar, Jonathan",ATL,107.9,32,96.4,431,4
"Murphy, Tom",OAK,103.6,26,96.4,389,4
"La Stella, Tommy",PHI,100.4,34,96.4,390,4
"Buxton, Byron",DET,114.1,38,96.4,451,4
"Hedges, Austin",CWS,102,33,96.4,381,4
"Brown, Seth",TB,108.4,22,96.4,412,4
"RamÃ­rez, JosÃ©",BAL,106.4,35,96.4,404,Sinker
"Peraza, JosÃ©",MIL,100.1,34,96.4,390,4
