Name,Control,State,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Concordia University-Irvine,Private,CA,2,9,No,Yes,55500,81,60,68,67,68,64,100,15,3806
Concordia University-Nebraska,Private,NE,2,7,No,Yes,49405,85,47,58,46,70,53,100,14,2399
Concordia University-Saint Paul,Private,MN,3,9,No,Yes,37800,68,43,53,45,60,41,100,18,5145
Concordia University-Wisconsin,Private,WI,3,9,No,Yes,48502,69,41,60,51,67,53,100,12,4545
Connecticut College,Private,CT,2,5,No,Yes,79575,41,78,81,78,83,78,100,9,1922
Cooper Union for the Advancement of Science and Art,Private,NY,1,7,No,No,68708,15,64,83,80,91,76,100,9,877
Coppin State University,Public,MD,2,9,Yes,Yes,22136,48,14,26,35,22,23,92,10,1811
Corban University,Private,OR,2,9,No,Yes,50372,38,56,64,55,68,68,100,12,1156
Cornell College,Private,IA,2,7,No,Yes,62735,81,63,64,59,69,65,100,12,1046
Cornell University,Private,NY,5,9,No,Yes,80287,9,88,94,93,95,90,58,9,23971
Cornerstone University,Private,MI,2,9,No,Yes,41010,91,54,60,61,60,51,100,15,1638
Cornish College of the Arts,Private,WA,1,5,No,Yes,53502,64,47,51,52,51,48,100,7,449
Covenant College,Private,GA,1,7,No,Yes,52030,89,65,72,69,74,72,100,11,860
Creighton University,Private,NE,3,9,No,Yes,60224,78,70,78,78,79,72,100,11,8782
Criswell College,Private,TX,1,7,No,Yes,24744,98,43,43,40,50,50,94,5,132
Crown College,Private,MN,2,7,No,Yes,43676,65,51,59,45,72,54,98,17,1102
Culver-Stockton College,Private,MO,1,7,No,Yes,42418,93,42,49,36,62,43,100,14,967
Cumberland University,Private,TN,2,7,No,Yes,42082,58,41,53,43,74,42,100,17,2317
CUNY Bernard M Baruch College,Public,NY,4,9,No,Yes,34038,51,49,74,69,79,75,91,20,17482
