Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
COLORADO COLLEGE,CO,8,2,0.5,2,2.2
COLORADO SCHOOL OF MINES,CO,8,1,0.7,1.7,1.2
UNIVERSITY OF NORTHERN COLORADO,CO,8,1,4.4,5.2,5.6
COLORADO STATE UNIVERSITY,CO,8,1,2.6,3,3.1
DENVER SEMINARY,CO,8,2,2.7,1.3,0
FORT LEWIS COLLEGE,CO,8,1,9.5,12.6,8.7
ILIFF SCHOOL OF THEOLOGY,CO,8,2,2,4.8,6.1
LAMAR COMMUNITY COLLEGE,CO,5,1,14.4,21.7,19.6
COLORADO MESA UNIVERSITY,CO,8,1,8.1,10.9,10.3
COLORADO NORTHWESTERN COMMUNITY COLLEGE,CO,5,1,9.5,7.2,10.5
METROPOLITAN STATE UNIVERSITY OF DENVER,CO,8,1,6.8,8.9,7.7
NORTHEASTERN JUNIOR COLLEGE,CO,5,1,10.2,18.5,17.4
OTERO JUNIOR COLLEGE,CO,5,1,11.6,15.1,17.5
REGIS UNIVERSITY,CO,8,2,3.2,2.9,3.7
COLORADO STATE UNIVERSITY-PUEBLO,CO,8,1,8.3,8.3,7.7
TRINIDAD STATE JUNIOR COLLEGE,CO,6,1,13.9,13.9,15.3
UNIVERSITY OF COLORADO BOULDER,CO,8,1,2.4,3,3.2
UNIVERSITY OF DENVER,CO,8,2,1.6,1.9,1.8
WESTERN COLORADO UNIVERSITY,CO,8,1,5.8,8.8,7.8
ALBERTUS MAGNUS COLLEGE,CT,8,2,5.6,5.9,9.2
CENTRAL CONNECTICUT STATE UNIVERSITY,CT,8,1,5.7,6.5,6.1
CONNECTICUT COLLEGE,CT,8,2,1.4,1.1,1.5
WESTERN CONNECTICUT STATE UNIVERSITY,CT,8,1,6.3,7.6,7.3
FAIRFIELD UNIVERSITY,CT,8,2,2.2,1.3,1.9
HARTFORD SEMINARY,CT,8,2,0,2.4,2.3
HOLY APOSTLES COLLEGE & SEMINARY,CT,8,2,2.4,6.4,5.8
MANCHESTER COMMUNITY COLLEGE,CT,5,1,6.4,6.7,6.9
MITCHELL COLLEGE,CT,6,2,15,16.4,18.6
UNIVERSITY OF NEW HAVEN,CT,8,2,3.7,4.3,4.7
NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,5,1,5.4,5.4,2.6
NORWALK COMMUNITY COLLEGE,CT,5,1,13,14.7,12.5
POST UNIVERSITY,CT,8,3,17.7,21.3,19.6
QUINNIPIAC UNIVERSITY,CT,8,2,2.3,2.6,2.7
SACRED HEART UNIVERSITY,CT,8,2,2.1,3.9,3.3
SOUTHERN CONNECTICUT STATE UNIVERSITY,CT,8,1,5.3,7.5,6.7
UNIVERSITY OF SAINT JOSEPH,CT,8,2,2.6,3.4,2.5
TRINITY COLLEGE,CT,8,2,1.9,2.6,1.1
UNIVERSITY OF BRIDGEPORT,CT,8,2,7.1,7,8.3
UNIVERSITY OF CONNECTICUT,CT,8,1,2,2.6,2.3
UNIVERSITY OF HARTFORD,CT,8,2,5.1,7.3,6.4
WESLEYAN UNIVERSITY,CT,8,2,1.1,1.8,1.4
EASTERN CONNECTICUT STATE UNIVERSITY,CT,8,1,5.2,7.3,6.7
YALE UNIVERSITY,CT,8,2,0.7,0.9,1.1
DELAWARE STATE UNIVERSITY,DE,8,1,11.2,14.3,13.6
GOLDEY-BEACOM COLLEGE,DE,8,2,9.3,10,6
UNIVERSITY OF DELAWARE,DE,8,1,2.1,2.4,2.2
WESLEY COLLEGE,DE,8,2,14.4,16.2,13.7
AMERICAN UNIVERSITY (THE),DC,8,2,1.7,2.5,1.8
CAPITOL TECHNOLOGY UNIVERSITY,MD,8,2,3.7,5.3,8.1
CATHOLIC UNIVERSITY OF AMERICA (THE),DC,8,2,2.4,2.8,2.5
UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,8,1,11.2,12.6,15
GALLAUDET UNIVERSITY,DC,8,2,8.4,11.6,8.7
GEORGE WASHINGTON UNIVERSITY,DC,8,2,1.3,2.2,1.9
GEORGETOWN UNIVERSITY,DC,8,2,0.7,1,1.2
HOWARD UNIVERSITY,DC,8,2,6,7.2,8
STRAYER UNIVERSITY,DC,8,3,8.6,11.3,10.4
TRINITY WASHINGTON UNIVERSITY,DC,8,2,8.7,14.9,13.8
WESLEY THEOLOGICAL SEMINARY,DC,8,2,7.9,8,2.4
BARRY UNIVERSITY,FL,8,2,5.8,6.1,4.7
BETHUNE COOKMAN UNIVERSITY,FL,8,2,23.6,26.6,13
SAINT THOMAS UNIVERSITY,FL,8,2,5.8,5.1,4.9
FLORIDA INSTITUTE OF TECHNOLOGY,FL,8,2,5.2,8,7.6
EASTERN FLORIDA STATE COLLEGE,FL,6,1,11.8,16.1,3.2
COLLEGE OF CENTRAL FLORIDA,FL,6,1,8.8,10.2,7.5
CHIPOLA COLLEGE,FL,6,1,0,2.8,4.1
DAYTONA STATE COLLEGE,FL,6,1,11.1,13.8,2.9
FLORIDA SOUTHWESTERN STATE COLLEGE,FL,6,1,8.7,10,7.2
EDWARD WATERS COLLEGE,FL,6,2,26.6,25.6,9.2
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,FL,8,2,4.1,4.7,4.2
FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,FL,8,1,7.6,9.3,6.6
FLORIDA ATLANTIC UNIVERSITY,FL,8,1,4.4,5.5,3.2
FLORIDA COLLEGE,FL,6,2,7.9,5.6,2.3
FLORIDA STATE COLLEGE AT JACKSONVILLE,FL,6,1,9.9,12.8,2.8
COLLEGE OF THE FLORIDA KEYS (THE),FL,6,1,15.8,16.9,11.8
FLORIDA MEMORIAL UNIVERSITY,FL,8,2,15.5,19,13.2
ECKERD COLLEGE,FL,6,2,3,5.5,3.3
FLORIDA SOUTHERN COLLEGE,FL,8,2,4.3,5.8,4.2
FLORIDA STATE UNIVERSITY,FL,8,1,2.8,3.5,2.4
GULF COAST STATE COLLEGE,FL,6,1,7.3,10.2,14.7
INDIAN RIVER STATE COLLEGE,FL,6,1,11.5,12.4,9.2
JACKSONVILLE UNIVERSITY,FL,8,2,6,6.1,2
ALTIERUS CAREER COLLEGE,FL,5,2,17.5,24.9,24.4
BROWARD COLLEGE,FL,6,1,10.4,9.9,7
FLORIDA GATEWAY COLLEGE,FL,6,1,11.7,6.7,11.3
LAKE SUMTER STATE COLLEGE,FL,6,1,14.7,9.4,8.9
"STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA",FL,6,1,11.9,11.9,7.4
LYNN UNIVERSITY,FL,8,2,3.9,5.7,4.9
MIAMI DADE COLLEGE,FL,6,1,8,9.7,7.5
NOVA SOUTHEASTERN UNIVERSITY,FL,8,2,1.9,2.5,2.2
NORTHWEST FLORIDA STATE COLLEGE,FL,6,1,10.7,15.7,17.5
PALM BEACH STATE COLLEGE,FL,6,1,10,11.4,8.2
PENSACOLA STATE COLLEGE,FL,6,1,13.5,14.3,16.2
POLK STATE COLLEGE,FL,6,1,10.1,11.2,10.1
ROLLINS COLLEGE,FL,8,2,4.1,6,2.4
SANTA FE COLLEGE,FL,6,1,10.4,13.3,7.6
SEMINOLE STATE COLLEGE OF FLORIDA,FL,6,1,9,11.4,5.3
SOUTHEASTERN UNIVERSITY,FL,8,2,8.2,9.5,7.3
SOUTH FLORIDA STATE COLLEGE,FL,6,1,9.6,9.1,7.7
SAINT JOHNS RIVER STATE COLLEGE,FL,6,1,9.6,11.8,3.4
SAINT LEO UNIVERSITY,FL,8,2,7.7,10.5,7.2
ST. PETERSBURG COLLEGE,FL,6,1,9.3,11.5,3
STETSON UNIVERSITY,FL,8,2,3.3,4.3,2.6
TALLAHASSEE COMMUNITY COLLEGE,FL,6,1,12,14.3,14.5
UNIVERSITY OF FLORIDA,FL,8,1,1.7,2,1.5
UNIVERSITY OF MIAMI,FL,8,2,1.9,2.2,1.9
UNIVERSITY OF SOUTH FLORIDA,FL,8,1,3.3,4.5,1.2
UNIVERSITY OF TAMPA (THE),FL,8,2,3.4,3.1,2.6
WEBBER INTERNATIONAL UNIVERSITY,FL,8,2,13.1,16.1,8.3
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,GA,6,1,12.4,14.1,17.3
AGNES SCOTT COLLEGE,GA,8,2,3.6,2.3,4.5
ALBANY STATE UNIVERSITY,GA,8,1,8.8,11.5,13.3
ANDREW COLLEGE,GA,6,2,19,25.7,16
POINT UNIVERSITY,GA,8,2,14,18.2,12.3
BERRY COLLEGE,GA,8,2,2.1,2,2.9
THOMAS UNIVERSITY,GA,8,2,8,9.3,11.1
BRENAU UNIVERSITY,GA,8,2,6.1,6.9,5.5
BREWTON PARKER COLLEGE,GA,6,2,20.4,23.1,14.2
COLLEGE OF COASTAL GEORGIA,GA,6,1,5.2,7.6,4.8
CLARK ATLANTA UNIVERSITY,GA,8,2,9.9,13.4,10.9
COLUMBIA THEOLOGICAL SEMINARY,GA,8,2,6.5,4.2,0
COLUMBUS STATE UNIVERSITY,GA,8,1,6,8.4,10.2
EMMANUEL COLLEGE,GA,6,2,8.2,15,17.5
EMORY UNIVERSITY,GA,8,2,1.4,1.4,1.5
FORT VALLEY STATE UNIVERSITY,GA,8,1,12.7,14.5,13.5
INTERDENOMINATIONAL THEOLOGICAL CENTER,GA,8,2,7.9,12.3,12.7
GEORGIA INSTITUTE OF TECHNOLOGY,GA,8,1,0.9,1.3,1.3
GEORGIA MILITARY COLLEGE,GA,6,1,13.5,17.3,18.8
GEORGIA SOUTHERN UNIVERSITY,GA,8,1,5.3,7,6.4
GEORGIA SOUTHWESTERN STATE UNIVERSITY,GA,8,1,4.7,4.8,7.3
GEORGIA STATE UNIVERSITY,GA,8,1,5.9,10.1,10.1
GORDON STATE COLLEGE,GA,6,1,12.6,14.8,16.6
KENNESAW STATE UNIVERSITY,GA,8,1,4.8,6.5,6.9
LAGRANGE COLLEGE,GA,8,2,6.3,9.1,10
AUGUSTA UNIVERSITY,GA,8,1,3.5,5.9,6.1
MERCER UNIVERSITY,GA,8,2,3.5,4.4,5.7
MIDDLE GEORGIA STATE UNIVERSITY,GA,8,1,10.4,13.4,12.1
MOREHOUSE COLLEGE,GA,6,2,8.3,11.7,10.8
